Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,235.899994,237.470001,233.149994,236.940002,230.432068,25324000
2021-03-02,237.009995,237.300003,233.449997,233.869995,227.446411,22812500
2021-03-03,232.160004,233.580002,227.259995,227.559998,221.309708,34029500
2021-03-04,226.740005,232.490005,224.259995,226.729996,220.502518,44727800
2021-03-05,229.520004,233.270004,226.460007,231.600006,225.238724,41872800
2021-03-08,231.369995,233.369995,227.130005,227.389999,221.144363,35267400
2021-03-09,232.880005,235.380005,231.669998,233.779999,227.358856,33080500
2021-03-10,237.000000,237.000000,232.039993,232.419998,226.036209,29746800
2021-03-11,234.960007,239.169998,234.309998,237.130005,230.616867,29907600
2021-03-12,234.009995,235.820007,233.229996,235.750000,229.274765,22653700
2021-03-15,234.960007,235.190002,231.809998,234.809998,228.360550,26034900
2021-03-16,236.279999,240.059998,235.940002,237.710007,231.180893,28092200
2021-03-17,236.149994,238.550003,233.229996,237.039993,230.529343,29562100
2021-03-18,232.559998,234.190002,230.330002,230.720001,224.382935,34833000
2021-03-19,231.020004,232.470001,229.350006,230.350006,224.023087,46430700
2021-03-22,230.270004,236.899994,230.139999,235.990005,229.508163,30127000
2021-03-23,237.490005,241.050003,237.070007,237.580002,231.054474,31638400
2021-03-24,237.850006,238.000000,235.320007,235.460007,228.992706,25620100
2021-03-25,235.300003,236.940002,231.570007,232.339996,225.958405,34061900
2021-03-26,231.550003,236.710007,231.550003,236.479996,229.984695,25479900
2021-03-29,236.589996,236.800003,231.880005,235.240005,228.778763,25227500
2021-03-30,233.529999,233.850006,231.100006,231.850006,225.481903,24792000
2021-03-31,232.910004,239.100006,232.389999,235.770004,229.294220,43623500
2021-04-01,238.470001,242.839996,238.050003,242.350006,235.693466,30338000
2021-04-05,242.759995,249.960007,242.699997,249.070007,242.228912,36910600
2021-04-06,247.610001,249.399994,246.880005,247.860001,241.052139,22931900
2021-04-07,247.809998,250.929993,247.190002,249.899994,243.036102,22719800
2021-04-08,252.770004,254.139999,252.000000,253.250000,246.294083,23625200
2021-04-09,252.869995,255.990005,252.440002,255.850006,248.822662,24326800
2021-04-12,254.710007,257.670013,254.619995,255.910004,248.881027,27148700
2021-04-13,257.260010,259.190002,256.829987,258.489990,251.390121,23837500
2021-04-14,257.480011,258.829987,255.160004,255.589996,248.569824,23070900
2021-04-15,257.929993,259.929993,257.730011,259.500000,252.372421,25627500
2021-04-16,259.470001,261.000000,257.600006,260.739990,253.578369,24878600
2021-04-19,260.190002,261.480011,257.820007,258.739990,251.633270,23209300
2021-04-20,257.820007,260.200012,256.839996,258.260010,251.166504,19722900
2021-04-21,258.940002,260.679993,257.250000,260.579987,253.422760,24030400
2021-04-22,260.209991,261.779999,255.639999,257.170013,250.106430,25606200
2021-04-23,257.880005,261.510010,257.269989,261.149994,253.977066,21462600
2021-04-26,261.660004,262.440002,260.170013,261.549988,254.366119,19763300
2021-04-27,261.579987,263.190002,260.119995,261.970001,254.774612,31014200
2021-04-28,256.079987,256.540009,252.949997,254.559998,247.568100,46903100
2021-04-29,255.460007,256.100006,249.000000,252.509995,245.574387,40589000
2021-04-30,249.740005,253.080002,249.600006,252.179993,245.253464,30945100
2021-05-03,253.399994,254.350006,251.119995,251.860001,244.942276,19626600
2021-05-04,250.970001,251.210007,245.759995,247.789993,240.984039,32756100
2021-05-05,249.059998,249.500000,245.820007,246.470001,239.700333,21901300
2021-05-06,246.449997,249.860001,244.690002,249.729996,242.870758,26491100
2021-05-07,252.149994,254.300003,251.169998,252.460007,245.525772,27032900
2021-05-10,250.869995,251.729996,247.119995,247.179993,240.390793,29299900
2021-05-11,244.550003,246.600006,242.570007,246.229996,239.466904,33641600
2021-05-12,242.169998,244.380005,238.070007,239.000000,232.435486,36684400
2021-05-13,241.800003,245.600006,241.419998,243.029999,236.354813,29624300
2021-05-14,245.580002,249.179993,245.490005,248.149994,241.334167,23901100
2021-05-17,246.550003,246.589996,243.520004,245.179993,238.445740,24970200
2021-05-18,246.270004,246.410004,242.899994,243.080002,236.403427,20168000
2021-05-19,239.309998,243.229996,238.600006,243.119995,236.988297,25739800
2021-05-20,243.960007,247.949997,243.860001,246.479996,240.263535,21800700
2021-05-21,247.570007,248.330002,244.740005,245.169998,238.986603,21863100
2021-05-24,247.789993,251.160004,247.509995,250.779999,244.455109,21411500
2021-05-25,251.770004,252.750000,250.820007,251.720001,245.371384,17704300
2021-05-26,251.429993,252.940002,250.750000,251.490005,245.147171,17771600
2021-05-27,251.169998,251.479996,249.250000,249.309998,243.022186,24426200
2021-05-28,251.000000,252.080002,249.559998,249.679993,243.382843,18270200
2021-06-01,251.229996,251.289993,246.960007,247.399994,241.160355,23213300
2021-06-02,248.130005,249.270004,245.839996,247.300003,241.062851,19406700
2021-06-03,245.220001,246.339996,243.000000,245.710007,239.512985,25307700
2021-06-04,247.759995,251.649994,247.509995,250.789993,244.464828,25281100
2021-06-07,249.979996,254.089996,249.809998,253.809998,247.408676,23079200
2021-06-08,255.160004,256.010010,252.509995,252.570007,246.199982,22455000
2021-06-09,253.809998,255.529999,253.210007,253.589996,247.194229,17937600
2021-06-10,254.289993,257.459991,253.669998,257.239990,250.752151,24563600
2021-06-11,257.989990,258.489990,256.609985,257.890015,251.385788,18999700
2021-06-14,257.899994,259.950012,256.799988,259.890015,253.335358,19150500
2021-06-15,259.769989,259.989990,257.679993,258.359985,251.843933,18038900
2021-06-16,259.399994,260.579987,254.419998,257.380005,250.888641,27220000
2021-06-17,256.070007,261.750000,256.010010,260.899994,254.319824,27565500
2021-06-18,259.630005,262.299988,258.750000,259.429993,252.886948,37202200
2021-06-21,259.820007,263.519989,257.920013,262.630005,256.006256,26696100
2021-06-22,262.720001,265.790009,262.399994,265.510010,258.813599,24694100
2021-06-23,265.989990,266.829987,264.429993,265.269989,258.579620,19518700
2021-06-24,266.160004,267.850006,265.470001,266.690002,259.963898,21446900
2021-06-25,266.230011,267.250000,264.760010,265.019989,258.335968,25611100
2021-06-28,266.190002,268.899994,265.910004,268.720001,261.942596,19590000
